year,unemployment_insurance_fund_id,unemployment_insurance_fund ,gender,age_range_year,days,amount_sek
1999,4,Handelsanställdas,men,-24,127860.5,56010224.5
1999,4,Handelsanställdas,women,-24,256283.5,100965167.5
1999,4,Handelsanställdas,men,25-29,286745.5,144031805.5
1999,4,Handelsanställdas,women,25-29,651367.5,308217261.5
1999,4,Handelsanställdas,men,30-34,254886,133344921.5
1999,4,Handelsanställdas,women,30-34,551414,272236707
1999,4,Handelsanställdas,men,35-39,201652.5,106341328.5
1999,4,Handelsanställdas,women,35-39,359992,176438413.5
1999,4,Handelsanställdas,men,40-44,158059.5,82824434.5
1999,4,Handelsanställdas,women,40-44,244112.5,117025969
1999,4,Handelsanställdas,men,45-49,130917,69532202.5
1999,4,Handelsanställdas,women,45-49,215265.5,102368885
1999,4,Handelsanställdas,men,50-54,110718,59254532.5
1999,4,Handelsanställdas,women,50-54,270059.5,127961016.5
1999,4,Handelsanställdas,men,55-59,99108.5,53178942.5
1999,4,Handelsanställdas,women,55-59,329814,152641040.5
1999,4,Handelsanställdas,men,60+,99670.5,53550063.5
1999,4,Handelsanställdas,women,60+,415142,182530673.5
1999,6,GS,men,-24,91832,44324144
1999,6,GS,women,-24,23771,11023102.5
1999,6,GS,men,25-29,213017,114357834
1999,6,GS,women,25-29,72383,37519461
1999,6,GS,men,30-34,235747.5,128891923.5
1999,6,GS,women,30-34,101844.5,53341601.5
1999,6,GS,men,35-39,222645.5,121308856.5
1999,6,GS,women,35-39,85809,44564683.5
1999,6,GS,men,40-44,201420,109243834.5
1999,6,GS,women,40-44,68582.5,35635750.5
1999,6,GS,men,45-49,201010.5,109851570.5
1999,6,GS,women,45-49,57738,30117316.5
1999,6,GS,men,50-54,221631,122711026
1999,6,GS,women,50-54,67096,34639780
1999,6,GS,men,55-59,204444,113347539.5
1999,6,GS,women,55-59,62841.5,31701574
1999,6,GS,men,60+,242209,130196162.5
1999,6,GS,women,60+,60597,29005437.5
1999,10,Livsmedelsarbetarnas,men,-24,72764,35576197
1999,10,Livsmedelsarbetarnas,women,-24,62288,28740344
1999,10,Livsmedelsarbetarnas,men,25-29,140692.5,75194789.5
1999,10,Livsmedelsarbetarnas,women,25-29,125613,64374380
1999,10,Livsmedelsarbetarnas,men,30-34,117972.5,64303069.5
1999,10,Livsmedelsarbetarnas,women,30-34,119873.5,61891665.5
1999,10,Livsmedelsarbetarnas,men,35-39,95374,51602182
1999,10,Livsmedelsarbetarnas,women,35-39,77957,39442049.5
1999,10,Livsmedelsarbetarnas,men,40-44,68733.5,37431001
1999,10,Livsmedelsarbetarnas,women,40-44,47783.5,23970824.5
1999,10,Livsmedelsarbetarnas,men,45-49,47196,25695086.5
1999,10,Livsmedelsarbetarnas,women,45-49,40591,20271321.5
1999,10,Livsmedelsarbetarnas,men,50-54,39375.5,21576237.5
1999,10,Livsmedelsarbetarnas,women,50-54,34642,17075031.5
1999,10,Livsmedelsarbetarnas,men,55-59,36264.5,19629396.5
1999,10,Livsmedelsarbetarnas,women,55-59,30998.5,15007071.5
1999,10,Livsmedelsarbetarnas,men,60+,54164.5,28998646.5
1999,10,Livsmedelsarbetarnas,women,60+,33789.5,15753537.5
1999,14,Unionens,men,-24,99590.5,42545609
1999,14,Unionens,women,-24,163285,67287359
1999,14,Unionens,men,25-29,267437,133674905.5
1999,14,Unionens,women,25-29,472696,229148313.5
1999,14,Unionens,men,30-34,296364.5,157163269
1999,14,Unionens,women,30-34,680192,351630143.5
1999,14,Unionens,men,35-39,305603.5,162520608.5
1999,14,Unionens,women,35-39,617907,321140946
1999,14,Unionens,men,40-44,295119,157886552.5
1999,14,Unionens,women,40-44,500728,258307778.5
1999,14,Unionens,men,45-49,327381.5,177935363
1999,14,Unionens,women,45-49,516960.5,266369911
1999,14,Unionens,men,50-54,447571.5,246798209.5
1999,14,Unionens,women,50-54,684365.5,356000092.5
1999,14,Unionens,men,55-59,541903.5,302060872.5
1999,14,Unionens,women,55-59,722093.5,372557244.5
1999,14,Unionens,men,60+,692619,384805906.5
1999,14,Unionens,women,60+,663665.5,329427301
1999,19,Transportarbetarnas,men,-24,80715.5,38208556
1999,19,Transportarbetarnas,women,-24,25291,11388962.5
1999,19,Transportarbetarnas,men,25-29,174827,94400761
1999,19,Transportarbetarnas,women,25-29,62840,32212515.5
1999,19,Transportarbetarnas,men,30-34,205343,114039579.5
1999,19,Transportarbetarnas,women,30-34,74276,39701487
1999,19,Transportarbetarnas,men,35-39,199913.5,110994307
1999,19,Transportarbetarnas,women,35-39,53818,28463021.5
1999,19,Transportarbetarnas,men,40-44,163294.5,91153909.5
1999,19,Transportarbetarnas,women,40-44,29182.5,15068166
1999,19,Transportarbetarnas,men,45-49,130429.9,72657843
1999,19,Transportarbetarnas,women,45-49,24514.5,12999233
1999,19,Transportarbetarnas,men,50-54,131814.5,73001313.5
1999,19,Transportarbetarnas,women,50-54,23615.5,12483716.5
1999,19,Transportarbetarnas,men,55-59,109407,60430421
